company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,total_jobs,website,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
22nd Century Technologies Inc.,138791.0,22nd Century Technologies,1.001-5.000 funcionários,True,"Somerset, New Jersey",Tecnologia da informação e serviços,4.0,https://www.linkedin.com/company/138791/about/,"Government & Federal IT Services, IT Staff Augmentation, IT Infrastructure Services, Microsoft Consulting, SharePoint/MOSS, IT Application Development & Maintenance, Database Administration, Help Desk Support, Information Security, ITIL, Web Application Development, DevOps, Cyber Security e Bigdata",8,https://www.tscti.com,,,,,
2A3R Inteligência para Negócios,42093941.0,2A3R Inteligência para Negócios,2-10 funcionários,True,"Joaçaba, SC",Treinamento e orientação profissional,,https://www.linkedin.com/company/42093941/about/,"Estratégia, Inovação, Mentorias, Workshops, Palestras, Transformação Digital, Criatividade, Modelos de Negócio, Processos, Métodos Ágeis, Serviços, Marketing, Outsourcing e Treinamento e Orientação Corporativa",NF,http://www.2a3r.com.br/,,,,,
2iM Inteligência Médica S/A,22307605.0,2iM Inteligência Médica S/A,11-50 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,,https://www.linkedin.com/company/22307605/about/,NF,NF,http://www.2im.com.br,,,,,
3M,1864.0,3M,+ de 10.001 funcionários,True,"St Paul, MN",Engenharia mecânica ou industrial,123.0,https://www.linkedin.com/company/1864/about/,"Innovation, Collaboration e Global, Diverse Career Opportunities",787,http://www.3M.com/careers,,,,,
,,3º Cartório Distribuidor de Curitiba,,False,,,,,,,,,,,,
,,3Redblue,,False,,,,,,,,,,,,
3XM Group,3008952.0,3XM Group,51-200 funcionários,True,"Wilmington, DE",Tecnologia da informação e serviços,3.0,https://www.linkedin.com/company/3008952/about/,"Business Intelligence, Data Warehousing, Data Integration, Reporting, Data Federation, Data Management, Cloud, AWS, DevOps, Network Security, Security e Pen Testing",6,http://www.3xmgroup.com,,,,,
4 Paper Buildings,1427744.0,4 Paper Buildings,51-200 funcionários,True,"London, London",Prática jurídica,,https://www.linkedin.com/company/1427744/about/,"Financial remedies on family breakdown, Children's arrangements on family breakdown, Public law children: care and adoption, International family law and movement of children, Court of Protection, Arbitration, Family Mediation e Surrogacy",NF,http://www.4pb.com,,,,,
,,4blue - Gestão para Pequenas Empresas,,False,,,,,,,,,,,,
,,"4KBW, 4 Kings Bench Walk, Chambers of Gavin Holme",,False,,,,,,,,,,,,
4KST - Unlimited Vision,11335590.0,4KST,2-10 funcionários,True,"Curitiba, PR",Tecnologia da informação e serviços,,https://www.linkedin.com/company/11335590/about/,"Machine Learning, Artificial Intelligence, Real Time Analytics, Data Streams, Predictive Analytics, Credit Score, Behavior Score, Collection Score, Self-Healing, eCommerce Recommendation, Fraud Detection e Customer Clusterization",NF,http://www.4kst.com,,,,,
4RESULTS,1395343.0,4Results,51-200 funcionários,True,NF,Consultoria de gerenciamento,,https://www.linkedin.com/company/1395343/about/,"Quick Response Manufacturing, Organization analysis, Change Management, Leadership, Lean, Total Productive Maintenance, Team Building, Efficiency Engineering, Project Management, Performance Management, Innovations, Improving sales effectiveness, Trainings, Team development, Coaching, Personal development e Managerial skills",NF,http://www.4results.pl,,,,,
,,4Results Ltda.,,False,,,,,,,,,,,,
4VANTS,12591511.0,4VANTS,11-50 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,,https://www.linkedin.com/company/12591511/about/,"Artificial Intelligence, Machine Learning, Deep Learning e Visio Analytics",NF,http://www.4vants.com.br,,,,,
4web.net Consultoria e Sistemas,6456332.0,4web.net Consultoria e Sistemas,2-10 funcionários,True,"Curitiba, PR",Software,,https://www.linkedin.com/company/6456332/about/,"Consultoria Técnica de Software, Gestão de Projetos de Softwares, Desenvolvimento de Sistemas Web e Análise e Planejamento de Sistemas",NF,http://www.4web.net.br,,,,,
,,4You MS Soluções,,False,,,,,,,,,,,,
6Mais,11847707.0,6mais,2-10 funcionários,True,"Curitiba, Paraná",Gestão educacional,,https://www.linkedin.com/company/11847707/about/,"treinamento on line, gestão por resultados, plataforma digital, engajamento, gestão empresarial, treinamento e desenvolvimento, gestão de desempenho, treinamento e desenvolvimento de pessoas e capacitação",NF,http://www.6mais.com.br,,,,,
77 Diamonds,765859.0,77 Diamonds,11-50 funcionários,True,NF,Produtos de luxo e joias,,https://www.linkedin.com/company/765859/about/,"Engagement rings, Loose certificated diamonds, Diamond jewellery, Fancy coloured diamonds, Jewellery, Wedding Bands, Eternity Rings, Diamond Rings e Diamonds",NF,http://www.77diamonds.com,,,,,
786 Law Associates,11659151.0,786 Law Associates,NF,True,NF,Serviços jurídicos,,https://www.linkedin.com/company/11659151/about/,NF,NF,http://786-law.co.uk,,,,,
7Excellence,65367109.0,7Excellence,11-50 funcionários,True,"Curitiba, Paraná",Administração de serviços,,https://www.linkedin.com/company/65367109/about/,NF,NF,http://www.7excellence.com.br,,,,,
9 Bedford Row International,1816481.0,9 Bedford Row International,51-200 funcionários,True,"London, England",Prática jurídica,,https://www.linkedin.com/company/1816481/about/,NF,NF,http://www.facebook.com/pages/9-Bedford-Row-International/165384510141528,,,,,
A MAHARAJ CONSULTANCY LIMITED,16952616.0,A Maharaj Consultancy Ltd,NF,True,NF,NF,,https://www.linkedin.com/company/16952616/about/,NF,NF,NF,,,,,
,,A People Partner,,False,,,,,,,,,,,,
Amazon,1586.0,A&L Goodbody,+ de 10.001 funcionários,True,"Seattle, WA",Internet,13263.0,https://www.linkedin.com/company/1586/about/,"e-Commerce, Retail, Operations e Internet",29616,http://www.amazon.com,,,,,
a55,11273430.0,a55,51-200 funcionários,True,"São Paulo, São Paulo",Serviços financeiros,,https://www.linkedin.com/company/11273430/about/,"Finance, Venture, Debt, Technology, Startups, Innovation, Lending, Brazil, Mexico e Latam",2,https://a55.tech/,,,,,
AAA Club Alliance,16552.0,AAA Club Alliance,1.001-5.000 funcionários,True,"Wilmington, Delaware",Atendimento ao consumidor,57.0,https://www.linkedin.com/company/16552/about/,"Travel, Tour Books, TripTiks, Maps, Vacation, Disney, Discounts, Savings, Automotive, Driver Training, Car Buying, Roadside Assistance, Towing, Glass Replacement, Car Insurance, Home Insurance, Banking, Public Safety, Advocacy e Mobile Battery",236,https://www.aaa.com/aaa/212/careers/index.html,,,,,
,,AAA Plataforma de Inovação,,False,,,,,,,,,,,,
AAA-The Auto Club Group,11662.0,AAA-The Auto Club Group,5.001-10.000 funcionários,True,"Dearborn, MI",Seguros,2.0,https://www.linkedin.com/company/11662/about/,"Membership, Travel, Insurance, Financial Services, Automotive, Transportation, Safety, Advocacy e Discounts",78,http://aaa.com,,,,,
AAC Law Firm,71642841.0,AAC Immigration,2-10 funcionários,True,"Quezon City , NCR",Serviços jurídicos,,https://www.linkedin.com/company/71642841/about/,"Legal Consultation , Notary Public , Civil and Criminal cases , Real Estate Transactions , Transfer of Title , Deeds of Sale/Conveyance , Credit and Loan transactions , Immigration Cases , Labor Law Concerns , Settlement of Estate and Taxation Law , Corporate and Business Registrations  e Corporate Compliance and Housekeeping",NF,NF,,,,,
,,Aalaw,,False,,,,,,,,,,,,
AAM - American Axle & Manufacturing,162224.0,AAM - American Axle & Manufacturing,+ de 10.001 funcionários,True,"Detroit, MI",Indústria automotiva,27.0,https://www.linkedin.com/company/162224/about/,"Driveline and Drivetrain Systems, Powertrain Components, Metal Formed Products, Front Axles, Rear Axles, Rear Axle Systems, Axle Differentials, Transfer Cases, Casting, Electric Driveline Systems e Lightweight Axle Technology",143,http://www.aam.com,,,,,
Abbott,1612.0,AB&DF Advocacia,+ de 10.001 funcionários,True,"Abbott Park, Illinois",Atendimento médico e hospitalar,128.0,https://www.linkedin.com/company/1612/about/,"Nutrition, Diagnostics, Medical Devices e Branded Generic Pharmaceuticals",2900,https://www.abbott.com,,,,,
abastece aí,66966608.0,abastece aí,51-200 funcionários,True,"São Paulo, São Paulo",Serviços financeiros,,https://www.linkedin.com/company/66966608/about/,NF,1,http://www.abasteceai.com.br,,,,,
ABB ENTERPRISE SOFTWARE UK LIMITED,16356750.0,ABB Enterprise Software,NF,True,NF,Tecnologia da informação e serviços,,https://www.linkedin.com/company/16356750/about/,NF,NF,NF,,,,,
ABBA QUÍMICA,28784991.0,ABBA QUÍMICA,11-50 funcionários,True,"Curitiba, Paraná",Indústria química,,https://www.linkedin.com/company/28784991/about/,"Tratamento de água, Desmineralizador, Gerador de Vapor, Torre de Resfriamento, Abrandador, Filtro de Carvão, Filtro de Areia, Produtos Químicos e Limpeza Química",NF,http://www.abbaquimica.com.br,,,,,
Abbott,1612.0,Abbott,+ de 10.001 funcionários,True,"Abbott Park, Illinois",Atendimento médico e hospitalar,128.0,https://www.linkedin.com/company/1612/about/,"Nutrition, Diagnostics, Medical Devices e Branded Generic Pharmaceuticals",2900,https://www.abbott.com,,,,,
,,ABELACHE BUSINESS,,False,,,,,,,,,,,,
,,Abfallentsorgungsgesellschaft Region Hannover mbH,,False,,,,,,,,,,,,
Abinee - Associação Brasileira da Indústria Elétrica e Eletrônica,110228.0,ABINEE,51-200 funcionários,True,NF,Tecnologia da informação e serviços,,https://www.linkedin.com/company/110228/about/,NF,NF,http://www.abinee.org.br,,,,,
Abix Tecnologia Ltda,620655.0,Abix Tecnologia Ltda,51-200 funcionários,True,"Curitiba, Paraná",Telecomunicações,,https://www.linkedin.com/company/620655/about/,telecomunicação,NF,http://www.abix.com.br,,,,,
Abrisuite,35599359.0,Abrisuite,11-50 funcionários,True,"Whitby, Ontario",Tecnologia da informação e serviços,,https://www.linkedin.com/company/35599359/about/,"Digital Transformation, Business Process Improvement, Business Process Automation, Robotic Process Automation, Digital Transformation Strategy, Digital Maturity Assessments, Software Development, Web Development e eCommerce",NF,https://www.abrisuite.com,,,,,
Abu Consultoria e Treinamento,10138630.0,Abu Consultoria e Treinamento,11-50 funcionários,True,NF,Tecnologia da informação e serviços,,https://www.linkedin.com/company/10138630/about/,"treinamento, consultoria , mudança de cultura, agilidade, jira, kanban, scrum master, agile coach e devops",NF,https://www.abuzitos.com.br/,,,,,
AC Milan,97490.0,AC - Advanced Channel & Sales,501-1.000 funcionários,True,"Milano, Italia",Esportes,,https://www.linkedin.com/company/97490/about/,Sport e Entertainment,1,http://www.acmilan.com,,,,,
Acácia Consultoria,4999577.0,Acacia Consultoria,51-200 funcionários,True,"Marília, São Paulo",Software,,https://www.linkedin.com/company/4999577/about/,"Automação da Força de Vendas, Automação de Promotores - SPY Market e Projetos Especiais",NF,http://www.acaciaconsultoria.com.br,,,,,
Academia Fiscal,11299494.0,Academia de Direito Digital,2-10 funcionários,True,"Rio de Janeiro, RJ",Educação à distância,,https://www.linkedin.com/company/11299494/about/,Direito Tributário,NF,http://www.academiafiscal.com,,,,,
Academy Bank,10634855.0,Academy Bank,501-1.000 funcionários,True,"Kansas City, Missouri",Bancos,,https://www.linkedin.com/company/10634855/about/,"Home Mortgage, Online Banking, Home Equity Line of Credit (HELOC), Credit and Debit Cards, Business Banking and Commercial Lending, Banking e Financial Services",NF,http://www.academybank.com,,,,,
Academy Mortgage Corporation,279730.0,Academy Mortgage Corporation,1.001-5.000 funcionários,True,"Draper, Utah",Serviços financeiros,6.0,https://www.linkedin.com/company/279730/about/,"Conventional Mortgages, FHA Loans, VA Loans, USDA Rural Loans, Renovation Loans, State Housing Loans, Refinancing, Adjustable-Rate Mortgages, Jumbo Loans e Other Loan Programs",12,https://academymortgage.com,,,,,
Accelerance,395536.0,Accelerance,11-50 funcionários,True,"Redwood City, CA",Software,,https://www.linkedin.com/company/395536/about/,"Software Development, Offshore Software Development, Software Outsourcing, Nearshore Software Development, Software Development Outsourcing, Custom Software Development, Virtual Reality, Cybersecurity, Agile Development, Digital Transformation, Staff Augementation e Team Extension",NF,http://www.Accelerance.com,,,,,
Accelerance,395536.0,"Accelerance, Inc.",11-50 funcionários,True,"Redwood City, CA",Software,,https://www.linkedin.com/company/395536/about/,"Software Development, Offshore Software Development, Software Outsourcing, Nearshore Software Development, Software Development Outsourcing, Custom Software Development, Virtual Reality, Cybersecurity, Agile Development, Digital Transformation, Staff Augementation e Team Extension",NF,http://www.Accelerance.com,,,,,
Accenture,1033.0,Accenture,+ de 10.001 funcionários,True,NF,Tecnologia da informação e serviços,4.06,https://www.linkedin.com/company/1033/about/,"Management Consulting, Systems Integration and Technology, Business Process Outsourcing e Application and Infrastructure Outsourcing",10194,http://www.accenture.com,,,,,
Accenture Brasil,2775365.0,Accenture Brasil,+ de 10.001 funcionários,True,"São Paulo, São Paulo",Tecnologia da informação e serviços,,https://www.linkedin.com/company/2775365/about/,"Digital, Tecnologia, Estratégia, Management Consulting, Consultoria Tecnológica, Consultoria de Integração de Sistemas, Outsourcing de Tecnologias da Informação, Outsourcing de processos de negócios, Cloud e Operações",256,https://www.accenture.com/br-pt/Careers.aspx,,,,,
Accenture in India,9215331.0,Accenture in India,+ de 10.001 funcionários,True,"Bengaluru, Karnatka",Tecnologia da informação e serviços,,https://www.linkedin.com/company/9215331/about/,"Management Consulting, Systems Integration and Technology, Business Process Outsourcing, Application and Infrastructure Outsourcing, Digital, Technology, Strategy, Cloud, Analytics, Artificial Intelligence, Blockchain e Security",14758,http://www.accenture.com/india,,,,,
Accenture,1033.0,Accenture Technology Solutions,+ de 10.001 funcionários,True,NF,Tecnologia da informação e serviços,4.06,https://www.linkedin.com/company/1033/about/,"Management Consulting, Systems Integration and Technology, Business Process Outsourcing e Application and Infrastructure Outsourcing",10194,http://www.accenture.com,,,,,
Accord Capital,19138136.0,Accord Capital,501-1.000 funcionários,True,"San Diego , California",Capital de risco e participações privadas,,https://www.linkedin.com/company/19138136/about/,NF,2,http://www.accordcap.com,,,,,
,,ACELERADORA DE CARREIRAS - DNA DA EDUCAÇÃO,,False,,,,,,,,,,,,
Aché Laboratórios Farmacêuticos,50866.0,Aché Laboratórios Farmacêuticos,1.001-5.000 funcionários,True,"GUARULHOS, SP",Indústria farmacêutica,,https://www.linkedin.com/company/50866/about/,"INDÚSTRIA, FARMACÊUTICA, INDUSTRY e PHARMACEUTICAL",NF,http://www.ache.com.br,,,,,
Achei no Pão Butantã,65894354.0,Achei no Pão Curitiba,2-10 funcionários,True,"Butantã, SP",Marketing e publicidade,,https://www.linkedin.com/company/65894354/about/,"Marketing, Publicidade, Propaganda e Anúncio",NF,http://www.acheinopao.com.br,,,,,
"ACKERMANN INTERNATIONAL (Executive Search, Selection Solutions & HR Consulting Services)",692664.0,"ACKERMANN INTERNATIONAL (Executive Search, Selection Solutions & HR Consulting Services)",201-500 funcionários,True,"Madrid , Madrid",Recursos humanos,,https://www.linkedin.com/company/692664/about/,"Executive Search, Inteligencia de mercado, HR Consulting Services, Recruitment Process Outsourcing, Middle Management Recruiting, headhunting, Talent Development e Digital Transformation",NF,http://www.ackermanninternational.com,,,,,
Studio Legale Catasti,18847942.0,AClegal - International Tax and Business Law,0-1 funcionários,True,"Paris, Ile-de-France",Prática jurídica,,https://www.linkedin.com/company/18847942/about/,"International Tax, Business Law, Contract Law, Litigation, Arbitration e Tax",NF,https://aclegal.website,,,,,
ACOM Sistemas,1001492.0,Acom Sistemas,51-200 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,,https://www.linkedin.com/company/1001492/about/,"tecnologia, ERP, Food Service e IT",NF,http://www.acomsistemas.com.br,,,,,
Acorn Health,8194528.0,Acorn Health,2-10 funcionários,True,NF,"Saúde, bem-estar e educação física",,https://www.linkedin.com/company/8194528/about/,"Chiropractic, Musculoskeletal Conditions, Pain Management, Rehabilitation, Paediatrics, Back pain, Neck pain, Joint pain, Muscle pain, Posture related problems, massage, physical therapy, health coaching, coaching, knee pain, business coaching, health coaching, life coaching, pilates, virtual services, online pilates e chronic pain coaching",NF,https://acornhealth.org.uk,,,,,
ACP - Associação Comercial do Paraná,1242668.0,ACP - Associação Comercial do Paraná,51-200 funcionários,True,"Curitiba, PR",Administração de serviços,,https://www.linkedin.com/company/1242668/about/,NF,NF,http://www.acpr.com.br,,,,,
act digital,2626868.0,act digital,1.001-5.000 funcionários,True,"Barueri, São Paulo",Tecnologia da informação e serviços,,https://www.linkedin.com/company/2626868/about/,"Innovation and Technology Consulting, Digital Strategy, Agile, Design Thinking, Software Development, Customer Experience, Digital Transformation, Data Science, Chatbot, Information Technology, Management Consulting, Systems Integration and Technology, Business Process Outsourcing, Application, Infrastructure Outsourcing, Product Engineering, Quality, Performance, Mobile Solutions, Artificial Intelligence, Cloud Computing, Internet of Things, Innovation Consulting, Service Design e Experience Design",4,http://actdigital.com/en/,,,,,
ACTEN AG,29361448.0,ACTEN AG,11-50 funcionários,True,"Ziegelbrücke, Glarus","Saúde, bem-estar e educação física",,https://www.linkedin.com/company/29361448/about/,NF,NF,http://www.acten.com,,,,,
"Actiance, Inc.",9128.0,Actian Corporation,201-500 funcionários,True,"Redwood City, California",Software,,https://www.linkedin.com/company/9128/about/,"unified communications, cloud archiving, social media, compliance, FINRA, governance, Facebook, regulatory, instant messaging, eDiscovery, collaboration, LinkedIn, Twitter, SEC, email archiving, MiFID II compliance, Supervision e Voice communications",NF,http://www.smarsh.com,,,,,
Action Labs Laboratórios de Inovação,10858112.0,Action Labs Design e Inovação,11-50 funcionários,True,"Curitiba, Paraná",Design,,https://www.linkedin.com/company/10858112/about/,"Proof of Concept Design, Modelagem de negócios, Imersão e Jornada do Usuário, Design de produtos e serviços, Prototipação e Experimentação, Design de Experiência e Design de Interação, Especificação de Produção e PoC Design",NF,http://www.actionlabs.com.br,,,,,
activeMind.legal Rechtsanwaltsgesellschaft mbH,27025977.0,activeMind.legal Rechtsanwaltsgesellschaft mbH,11-50 funcionários,True,"München, Bayern",Prática jurídica,,https://www.linkedin.com/company/27025977/about/,"Datenschutz, EU-Datenschutz-Grundverordnung, DSGVO, Datenschutzrecht, ISO 27001, Internationaler Datenschutz, GDPR, Data protection e General Data Protection Regulation",NF,https://www.activemind.legal/,,,,,
AD Consultoría,33185212.0,AD Consultoria,2-10 funcionários,True,"San Miguel, Lima",Filantropia,,https://www.linkedin.com/company/33185212/about/,Finanzas,NF,NF,,,,,
ADAMA Brasil,146185.0,ADAMA Brasil,501-1.000 funcionários,True,"Londrina, PR",Indústria química,,https://www.linkedin.com/company/146185/about/,"Indústria Química, agronegócios, Inovação, Pecuária, Defensivos Agrícolas, Herbicidas, Fungicidas, Inseticidas, Pragas Urbanas, Agro Digital, Nutrição de Plantas e Tratamento de Sementes",24,http://www.adama.com/brasil/pt,,,,,
Adams & Adams,36959.0,Adams & Co.,501-1.000 funcionários,True,NF,Prática jurídica,,https://www.linkedin.com/company/36959/about/,"Patents, Trademarks, Copyright, Commercial, Property, Litigation, Registered Designs, Constitutional Law, Competition Law, Dispute Resolution, Data Protection, IP Law in Africa, Exchange Control, Franchising, Mergers & Acquisitions, Labour Law, Property Law e Banking Law",NF,https://www.adams.africa,,,,,
Addleshaw Goddard,17940.0,Addleshaw Goddard,1.001-5.000 funcionários,True,"London, England",Serviços jurídicos,,https://www.linkedin.com/company/17940/about/,"Banking and Finance law, Commercial Litigation, Competition law, Construction Law, Corporate law, Corporate Restructuring and Insolvency, Employment law, IP, IT and Technology law, Pensions, PFI/PPP, Private Client, Real Estate e Tax",41,http://www.addleshawgoddard.com,,,,,
Addleshaw Goddard,17940.0,Addleshaw Goddard LLP,1.001-5.000 funcionários,True,"London, England",Serviços jurídicos,,https://www.linkedin.com/company/17940/about/,"Banking and Finance law, Commercial Litigation, Competition law, Construction Law, Corporate law, Corporate Restructuring and Insolvency, Employment law, IP, IT and Technology law, Pensions, PFI/PPP, Private Client, Real Estate e Tax",41,http://www.addleshawgoddard.com,,,,,
ADDLOG Rastreamento GPS ,10065637.0,ADDLOG Rastreamento GPS,11-50 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,,https://www.linkedin.com/company/10065637/about/,"Rastreamento, Telemetria, Gestão de frotas, Gestão Logística, Integração de Sistemas, Desenvolvimento de soluções, Gestão Operacional, roteirização, Rastreamento GPS veícular, Gestão da Manutenção e Gestão de motoristas",NF,http://www.addlog.com.br,,,,,
Ademicon,49114513.0,Ademicon Niteroi,501-1.000 funcionários,True,"Curitiba, Paraná",Serviços financeiros,,https://www.linkedin.com/company/49114513/about/,NF,10,https://ademicon.com.br,,,,,
"AdhereHealth, LLC",19069529.0,"AdhereHealth, LLC",501-1.000 funcionários,True,"Franklin, Tennessee",Tecnologia da informação e serviços,,https://www.linkedin.com/company/19069529/about/,NF,1,http://www.adherehealth.com,,,,,
Adler University,61779.0,Adler University,51-200 funcionários,True,"Chicago, IL",Ensino superior,1.0,https://www.linkedin.com/company/61779/about/,NF,27,http://adler.edu,,,,,
ADM do Brasil Ltda Rondonópolis MT,1780142.0,ADM do Brasil Ltda Rondonópolis MT,0-1 funcionários,True,NF,Produtos alimentícios,,https://www.linkedin.com/company/1780142/about/,NF,NF,http://10,,,,,
adopt'​ Parfums,11183206.0,AdOpt,201-500 funcionários,True,"Cestas, Nouvelle-Aquitaine",Cosmética,,https://www.linkedin.com/company/11183206/about/,NF,4,http://www.adopt.fr/,,,,,
ADP,1463.0,ADP,+ de 10.001 funcionários,True,"Roseland, New Jersey",Recursos humanos,302.0,https://www.linkedin.com/company/1463/about/,"Human Capital Management, HR BPO, Payroll and Tax Services, PEO, Retirement, Talent Management, Human Resource Management, Tax and Compliance, Benefits Administration, Payment Solutions, Time and Attendance, Health Care Reform e ACA Affordable Care Act",1344,http://adp.com/,,,,,
ADRIANA CHIARI LTD,22030623.0,ADRIANA CHIARI LTD,NF,True,NF,Marketing e publicidade,,https://www.linkedin.com/company/22030623/about/,NF,NF,NF,,,,,
Adroit Concepts Inc,9134668.0,adroit concept limited,2-10 funcionários,True,"Wexford, Pennsylvania",Tecnologia da informação e serviços,,https://www.linkedin.com/company/9134668/about/,NF,NF,NF,,,,,
Adryan Rodrigues Consultoria e Advocacia,65335483.0,Adryan Rodrigues Consultoria e Advocacia,2-10 funcionários,True,"Curitiba, Paraná",Prática jurídica,,https://www.linkedin.com/company/65335483/about/,"Direito Civil, Direito Empresarial, Planejamento estratégico, Direito Tributário, Direito Trabalhista e Consultoria jurídica direcionada",NF,NF,,,,,
ADT,162293.0,ADT,+ de 10.001 funcionários,True,"Boca Raton, Florida",Segurança e investigações,564.0,https://www.linkedin.com/company/162293/about/,"Home Security, Business Security, Home Automation e Emergency Response Button",1265,https://jobs.adt.com/,,,,,
ADTRAN,8049.0,ADTRAN,1.001-5.000 funcionários,True,"Huntsville, AL",Telecomunicações,11.0,https://www.linkedin.com/company/8049/about/,"telecommunications, carrier ethernet, broadband access, FTTH, Optical Networking Edge, Wi-Fi, SD-Access, Vectoring, FTTx, RFoG, EPON, 10G, Open Networks, Broadband e Fiber Access",28,http://www.adtran.com,,,,,
Advance Financial,156772.0,Advance Financial,1.001-5.000 funcionários,True,"Nashville, Tennessee",Serviços financeiros,0.0,https://www.linkedin.com/company/156772/about/,"Short-term lending, Check cashing, Free Money Orders e Wire transfer",0,https://af247careers.com/,,,,,
Advant Tecnologia,518345.0,Advant Tecnologia,2-10 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/518345/about/,"Virtualization, Cloud Services, Network Services, Operating Systems, Security, Databases e Web Hosting",0,http://www.advant.com.br,,,,,
APL - Advantage Property Lawyers,2448592.0,Advantage Property Lawyers Limited,NF,True,NF,NF,0.0,https://www.linkedin.com/company/2448592/about/,NF,0,NF,,,,,
Adventist Health,10743.0,Adventist Health,+ de 10.001 funcionários,True,"Roseville, CA",Atendimento médico e hospitalar,151.0,https://www.linkedin.com/company/10743/about/,"hospital, health care, community well-being, clinics, home health, hospice, health education e rural health clinics",1797,http://www.AdventistHealth.org,,,,,
Escritório Particular de Advocacia,1085155.0,Advocacia,0-1 funcionários,True,"Uberlândia, Minas Gerais",Prática jurídica,0.0,https://www.linkedin.com/company/1085155/about/,NF,0,http://www.mariaconsuelo.adv.br,,,,,
Advocacia Empresarial e Particular,1672592.0,Advocacia Empresarial e Particular,0-1 funcionários,True,NF,Prática jurídica,0.0,https://www.linkedin.com/company/1672592/about/,NF,0,http://www.adveloisasamy.com.br,,,,,
Valerio Mazzuoli Advocacia,10650145.0,Advocacia Valerio,2-10 funcionários,True,"Cuiabá, Mato Grosso",Judiciário,0.0,https://www.linkedin.com/company/10650145/about/,"Direito Internacional Público e Privado, Direito Constitucional, Direito Administrativo, Direito Tributário, Direito Civil e Empresarial, Direito Eleitoral, Direito do Trabalho e Direito Agrário e Ambiental",0,http://www.valeriomazzuoli.com.br,,,,,
Advogado,710665.0,Advogado,0-1 funcionários,True,NF,Prática jurídica,0.0,https://www.linkedin.com/company/710665/about/,NF,0,http://www.office-17.com,,,,,
AE VENTURES,11513583.0,AE Ventures,2-10 funcionários,True,"Sofia, Sofia City",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/11513583/about/,"Blockchain, Applications, Start-up, Accelerator, Startups e investment",0,http://www.aeternity-ventures.com,,,,,
AeC Contact Center,40592.0,AeC Contact Center,+ de 10.001 funcionários,True,"Belo Horizonte, Minas Gerais",Tecnologia da informação e serviços,,https://www.linkedin.com/company/40592/about/,"BPO, Contact Center, Consultoria em TI, Licenciamento de Softwares, Treinamentos e Gestão em Saúde",7,http://www.aec.com.br,,,,,
Aegis Business Technologies,292266.0,Aegis Business Technologies,11-50 funcionários,True,"Tallahassee, Florida",Tecnologia da informação e serviços,1.0,https://www.linkedin.com/company/292266/about/,"IT Consulting, Desktop and Server Support, Hardware Implementation, Web Design, Disaster Recovery, Security, Application Development, System Administration, IT Outsourcing, Managed Services, Mobile App Development e Network Cabling",1,http://www.aegisbiztech.com,,,,,
Aeries Development,28785380.0,Aeries Development,0-1 funcionários,True,NF,Imobiliário,0.0,https://www.linkedin.com/company/28785380/about/,NF,0,http://www.aeriesdevelopment.com,,,,,
Aeroclube do Paraná,11395932.0,Aeroclube do Paraná,11-50 funcionários,True,"Curitiba, Paraná",Aviação e aeroespacial,0.0,https://www.linkedin.com/company/11395932/about/,"Ensino, Cursos de Pilotagem, Curso de Comissária, Curso de Mecánico Aeronáutico, Voos Recreativos e Voos Panorâmicos",0,http://www.aeroclubeparana.com.br,,,,,
Aeroflex Indústria de Aerossol,10509220.0,Aeroflex Indústria de Aerossol,51-200 funcionários,True,"Curitiba, Paraná",Bens de consumo,,https://www.linkedin.com/company/10509220/about/,"Aerossol, Química, Desenvolvimento de produto, Tinta spray, Domissanitários, Químicos Automotivos, Terceirização de produtos, mundial prime, my place, my health, tintas, spray e tinta em spray",3,http://aeroflex.ind.br/,,,,,
"Aetna, a CVS Health Company",2807.0,Aetna,+ de 10.001 funcionários,True,"Hartford, Connecticut","Saúde, bem-estar e educação física",14.0,https://www.linkedin.com/company/2807/about/,"Consumer Health, Accountable Care e Health Care Innovation",27,http://www.aetna.com,,,,,
,,Aetna Life Insurance Company,,False,,,,,,,,,,,,
"Aetna, a CVS Health Company",2807.0,"Aetna, a CVS Health Company",+ de 10.001 funcionários,True,"Hartford, Connecticut","Saúde, bem-estar e educação física",14.0,https://www.linkedin.com/company/2807/about/,"Consumer Health, Accountable Care e Health Care Innovation",27,http://www.aetna.com,,,,,
AFEX,111844.0,AFEX,201-500 funcionários,True,"Los Angeles, CA",Serviços financeiros,1.0,https://www.linkedin.com/company/111844/about/,"Global Payment Solutions, Risk Management Solutions, Fund and Wealth Management, FX, Currency e USD/EUR",23,http://afex.com,,,,,
